20,2,8.8,7,2,1,0.9,0.1,0.1
22,2,10.3,5,1.984,1,0.9,0.1,0.1
2,2,11.2,5,1.992,3,0.1,0.1,0.9
9,4,16.1,4,1.985,3,0.1,0.1,0.9
24,1,6.7,9,1.986,1,0.9,0.1,0.1
17,2,9.2,10,2.009,2,0.1,0.9,0.1
11,1,6.4,11,1.989,1,0.9,0.1,0.1
24,3,11.3,10,2.002,2,0.1,0.9,0.1
0,1,8.9,9,1.979,2,0.1,0.9,0.1
14,2,9.2,5,2.012,3,0.1,0.1,0.9
20,2,9,10,2.009,2,0.1,0.9,0.1
11,1,7.4,5,1.983,1,0.9,0.1,0.1
1,3,11.7,12,1.979,2,0.1,0.9,0.1
9,2,10.4,5,1.984,2,0.1,0.9,0.1
24,2,10.7,10,1.999,2,0.1,0.9,0.1
13,3,12.7,3,1.988,2,0.1,0.9,0.1
18,2,9,5,2.008,3,0.1,0.1,0.9
3,4,14.4,1,1.998,3,0.1,0.1,0.9
3,2,10.5,5,1.989,2,0.1,0.9,0.1
13,2,9.4,10,2.008,2,0.1,0.9,0.1
13,3,11,3,2.001,2,0.1,0.9,0.1
24,4,14.2,4,1.999,3,0.1,0.1,0.9
0,1,6.8,9,1.98,1,0.9,0.1,0.1
19,2,9,5,2.001,1,0.9,0.1,0.1
24,2,9,7,1.998,1,0.9,0.1,0.1
1,2,9.2,9,1.979,2,0.1,0.9,0.1
22,4,14.6,4,1.988,3,0.1,0.1,0.9
25,3,13.2,5,1.992,2,0.1,0.9,0.1
8,4,14.6,4,1.996,3,0.1,0.1,0.9
18,1,6.5,3,1.976,1,0.9,0.1,0.1
25,3,12.1,3,1.987,2,0.1,0.9,0.1
8,3,12.1,3,1.997,2,0.1,0.9,0.1
22,3,12.2,3,1.988,2,0.1,0.9,0.1
13,4,15.6,4,1.985,3,0.1,0.1,0.9
5,2,10.1,5,1.997,1,0.9,0.1,0.1
16,2,10.6,5,1.989,1,0.9,0.1,0.1
10,3,11,3,2,3,0.1,0.1,0.9
20,3,11.1,10,2.002,1,0.9,0.1,0.1
18,1,5.6,12,1.983,1,0.9,0.1,0.1
22,2,10.5,5,1.984,2,0.1,0.9,0.1
12,2,10.2,5,1.998,2,0.1,0.9,0.1
11,4,13.9,1,1.997,3,0.1,0.1,0.9
24,4,16.1,1,1.994,3,0.1,0.1,0.9
10,1,6.31,12,1.971,1,0.9,0.1,0.1
14,1,6.6,3,1.972,1,0.9,0.1,0.1
22,1,7.4,5,1.988,1,0.9,0.1,0.1
17,3,11,3,2.003,2,0.1,0.9,0.1
19,2,10.2,10,2.001,1,0.9,0.1,0.1
13,1,5.9,3,1.975,1,0.9,0.1,0.1
12,1,7.2,5,2.013,1,0.9,0.1,0.1
10,2,9.3,5,2.011,3,0.1,0.1,0.9
16,3,12.6,3,1.993,2,0.1,0.9,0.1
14,4,14.1,1,1.986,3,0.1,0.1,0.9
5,2,9.5,10,2.004,2,0.1,0.9,0.1
0,1,6.8,9,1.98,1,0.9,0.1,0.1
17,1,6.9,10,2.012,1,0.9,0.1,0.1
9,2,9,5,2.002,3,0.1,0.1,0.9
15,1,6.5,3,1.975,2,0.1,0.9,0.1
11,1,6.7,9,1.984,1,0.9,0.1,0.1
24,1,6.5,3,1.974,1,0.9,0.1,0.1
16,2,8.4,11,1.988,1,0.9,0.1,0.1
22,3,12.8,3,1.995,2,0.1,0.9,0.1
17,2,9.1,10,2.005,2,0.1,0.9,0.1
17,3,11.2,10,2.013,2,0.1,0.9,0.1
4,0,3.4,12,1.971,1,0.9,0.1,0.1
24,1,6.5,3,1.976,1,0.9,0.1,0.1
23,1,5.7,12,1.968,1,0.9,0.1,0.1
14,2,9.4,9,1.98,2,0.1,0.9,0.1
1,1,6.8,9,1.981,1,0.9,0.1,0.1
13,4,12.5,1,2.002,2,0.1,0.9,0.1
4,3,13.6,5,1.984,3,0.1,0.1,0.9
22,1,6.7,9,1.984,1,0.9,0.1,0.1
22,2,10.4,5,1.988,2,0.1,0.9,0.1
13,1,7.4,5,1.984,1,0.9,0.1,0.1
11,3,11.7,3,1.997,3,0.1,0.1,0.9
23,1,6.7,3,1.969,1,0.9,0.1,0.1
2,3,12.1,3,1.984,3,0.1,0.1,0.9
14,1,6.3,12,1.981,1,0.9,0.1,0.1
1,1,6.5,3,1.976,1,0.9,0.1,0.1
